Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD
2025-12-04 01:00:00.000,1.16622,1.1664,1.1658,1.16624,3720
2025-12-04 02:00:00.000,1.16625,1.16632,1.16582,1.16594,3003
2025-12-04 03:00:00.000,1.16594,1.16595,1.16525,1.16551,3350
2025-12-04 04:00:00.000,1.1655,1.16578,1.16546,1.16566,2622
2025-12-04 05:00:00.000,1.16566,1.16616,1.16555,1.1659,3837
2025-12-04 06:00:00.000,1.16592,1.16592,1.16523,1.16573,3715
2025-12-04 07:00:00.000,1.16573,1.16648,1.16545,1.16648,4855
2025-12-04 08:00:00.000,1.16647,1.16812,1.16627,1.1676,8677
2025-12-04 09:00:00.000,1.16759,1.16796,1.16727,1.16769,7087
2025-12-04 10:00:00.000,1.1677,1.16791,1.16627,1.16657,5711
2025-12-04 11:00:00.000,1.16657,1.16801,1.16644,1.16794,5920
2025-12-04 12:00:00.000,1.16794,1.16801,1.16646,1.16694,6195
2025-12-04 13:00:00.000,1.16695,1.16706,1.16508,1.1664,10629
2025-12-04 14:00:00.000,1.16641,1.16764,1.16635,1.16692,10295
2025-12-04 15:00:00.000,1.1669,1.16739,1.16573,1.16726,9001
2025-12-04 16:00:00.000,1.16725,1.16728,1.16527,1.1658,6704
2025-12-04 17:00:00.000,1.16581,1.1659,1.16523,1.16554,4079
2025-12-04 18:00:00.000,1.16554,1.16592,1.1653,1.16536,3876
2025-12-04 19:00:00.000,1.16535,1.16549,1.16496,1.16519,4745
2025-12-04 20:00:00.000,1.16518,1.16518,1.16402,1.16435,4173
2025-12-04 21:00:00.000,1.16434,1.16453,1.16403,1.1644,1564
2025-12-04 22:00:00.000,1.16445,1.16445,1.16428,1.16436,423
2025-12-04 23:00:00.000,1.16438,1.16439,1.16403,1.16425,1082
2025-12-05 00:00:00.000,1.16425,1.16496,1.16425,1.16492,2883
2025-12-05 01:00:00.000,1.16492,1.1653,1.16489,1.16529,3101
2025-12-05 02:00:00.000,1.16529,1.16538,1.16504,1.1651,2284
2025-12-05 03:00:00.000,1.16512,1.16512,1.16457,1.16481,1691
2025-12-05 04:00:00.000,1.16482,1.16536,1.1648,1.16527,2394
2025-12-05 05:00:00.000,1.16527,1.16584,1.16525,1.16584,3286
2025-12-05 06:00:00.000,1.16584,1.16609,1.16546,1.16586,2917
2025-12-05 07:00:00.000,1.16585,1.1671,1.16579,1.16623,6091
2025-12-05 08:00:00.000,1.16623,1.16635,1.16516,1.16531,7504
2025-12-05 09:00:00.000,1.1653,1.16547,1.16475,1.16537,5503
2025-12-05 10:00:00.000,1.16537,1.16562,1.16471,1.16503,4744
2025-12-05 11:00:00.000,1.16502,1.16516,1.16407,1.16456,4847
2025-12-05 12:00:00.000,1.16456,1.16526,1.16429,1.1651,5691
2025-12-05 13:00:00.000,1.16509,1.16533,1.16427,1.1651,7213
2025-12-05 14:00:00.000,1.1651,1.16594,1.16448,1.1649,9743
2025-12-05 15:00:00.000,1.1649,1.16582,1.16429,1.16474,11427
2025-12-05 16:00:00.000,1.16474,1.16484,1.16272,1.16335,9915
2025-12-05 17:00:00.000,1.16333,1.16433,1.16317,1.16433,5583
2025-12-05 18:00:00.000,1.16434,1.16479,1.16412,1.16421,4530
2025-12-05 19:00:00.000,1.16422,1.16434,1.16391,1.16424,3368
2025-12-05 20:00:00.000,1.16421,1.16438,1.16391,1.16433,2356
2025-12-05 21:00:00.000,1.16435,1.16464,1.16394,1.16427,1575
2025-12-07 22:00:00.000,1.16351,1.16436,1.16347,1.16436,668
2025-12-07 23:00:00.000,1.16456,1.16456,1.16386,1.16396,2740
2025-12-08 00:00:00.000,1.16399,1.16508,1.16387,1.16503,4322
2025-12-08 01:00:00.000,1.16503,1.16524,1.16448,1.1651,5410
2025-12-08 02:00:00.000,1.16511,1.16535,1.1648,1.1653,3958
2025-12-08 03:00:00.000,1.16531,1.16547,1.1649,1.16493,2822
2025-12-08 04:00:00.000,1.16494,1.16547,1.16489,1.16537,2428
2025-12-08 05:00:00.000,1.16537,1.16555,1.16518,1.16554,2800
2025-12-08 06:00:00.000,1.16554,1.16713,1.16553,1.166,5992
2025-12-08 07:00:00.000,1.166,1.16672,1.16542,1.16573,5762
2025-12-08 08:00:00.000,1.16574,1.16617,1.16473,1.16553,6604
2025-12-08 09:00:00.000,1.16552,1.16568,1.16472,1.1648,6285
2025-12-08 10:00:00.000,1.16478,1.16549,1.16469,1.16501,5466
2025-12-08 11:00:00.000,1.16501,1.16528,1.1646,1.16494,5657
2025-12-08 12:00:00.000,1.16493,1.16531,1.16468,1.16525,5996
2025-12-08 13:00:00.000,1.16527,1.16569,1.16449,1.16476,7217
2025-12-08 14:00:00.000,1.16476,1.16541,1.1637,1.16394,10181
2025-12-08 15:00:00.000,1.16394,1.16394,1.16163,1.16244,10366
2025-12-08 16:00:00.000,1.16243,1.1628,1.16156,1.1624,7562
2025-12-08 17:00:00.000,1.16242,1.16384,1.16191,1.16383,6232
2025-12-08 18:00:00.000,1.16384,1.16413,1.16335,1.16365,4661
2025-12-08 19:00:00.000,1.16365,1.16409,1.16355,1.16386,4014
2025-12-08 20:00:00.000,1.16386,1.16411,1.16366,1.16373,2682
2025-12-08 21:00:00.000,1.16375,1.16381,1.16342,1.1636,1706
2025-12-08 22:00:00.000,1.16314,1.16361,1.16314,1.16346,1813
2025-12-08 23:00:00.000,1.16347,1.16401,1.16343,1.16401,1066
2025-12-09 00:00:00.000,1.164,1.16422,1.16361,1.16379,2595
2025-12-09 01:00:00.000,1.16378,1.16469,1.16352,1.16464,3678
2025-12-09 02:00:00.000,1.16462,1.16475,1.1643,1.16449,2517
2025-12-09 03:00:00.000,1.16451,1.1648,1.1643,1.16449,2686
2025-12-09 04:00:00.000,1.16448,1.16463,1.1643,1.1646,2486
2025-12-09 05:00:00.000,1.16462,1.16498,1.16432,1.16481,2525
2025-12-09 06:00:00.000,1.16478,1.16483,1.16411,1.16431,3731
2025-12-09 07:00:00.000,1.16432,1.16453,1.16373,1.1639,4893
2025-12-09 08:00:00.000,1.1639,1.16489,1.16329,1.16441,6326
2025-12-09 09:00:00.000,1.16439,1.16565,1.16427,1.16516,6116
2025-12-09 10:00:00.000,1.16515,1.16535,1.16396,1.1644,5009
2025-12-09 11:00:00.000,1.1644,1.16469,1.16374,1.16427,5583
2025-12-09 12:00:00.000,1.16428,1.16436,1.16336,1.16369,5222
